DATETIME, TEMP-INTERNA, TEMP-EXTERNA, TEMP-REFERENCIA, ACIONAMENTO-ATUADOR(%)
23-03-2021-10:58:14,49.521484,26.240000,49.000000,-83
23-03-2021-10:58:16,48.823242,26.240000,49.000000,-74
23-03-2021-10:58:18,49.038086,26.219999,49.000000,-100
23-03-2021-10:58:21,48.554688,26.219999,49.000000,-80
23-03-2021-10:58:23,47.749023,26.219999,49.000000,-90
23-03-2021-10:58:25,46.567383,26.209999,49.000000,-79
23-03-2021-10:58:28,46.245117,26.200001,49.000000,-72
23-03-2021-10:58:30,44.472656,26.209999,49.000000,-38
23-03-2021-10:58:32,43.237305,26.209999,49.000000,4
23-03-2021-10:58:35,44.687500,26.209999,49.000000,-86
23-03-2021-10:58:37,45.761719,26.209999,49.000000,-71
23-03-2021-10:58:39,47.749023,26.209999,49.000000,-41
23-03-2021-10:58:42,48.178711,26.209999,49.000000,-41
23-03-2021-10:58:44,48.984375,26.209999,49.000000,-45
23-03-2021-10:58:46,48.662109,26.209999,49.000000,-41
23-03-2021-10:58:49,47.587891,26.209999,49.000000,1
23-03-2021-10:58:51,46.835938,26.219999,49.000000,-2
23-03-2021-10:58:53,46.621094,26.219999,49.000000,-15
23-03-2021-10:58:56,47.695312,26.219999,49.000000,-26
23-03-2021-10:58:58,47.641602,26.219999,49.000000,-23
23-03-2021-10:59:00,46.406250,26.230000,49.000000,-11
23-03-2021-10:59:03,44.956055,26.219999,49.000000,47
23-03-2021-10:59:05,46.674805,26.219999,49.000000,-60
23-03-2021-10:59:07,46.997070,26.240000,49.000000,-8
23-03-2021-10:59:10,49.628906,26.219999,49.000000,-100
